"","Date","Time","latin","Species","Weather","Trap.number","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Supervisor","Any.other.comments","team","loc","month"
"1","04/03/2017","11:35","Apodemus sylvaticus","Wood mouse","Rain","5","NY408555","Human site","Suburban","Garden","Ruth","Davina Hill","Back of Bowscale","tmo","cumb","mar"
"2","04/03/2017","11:25","Apodemus sylvaticus","Wood mouse","Cloudy","3","NY410554","Woodland","Mixed","Moderate shrub layer","Ruth","Davina Hill","Back of stems","tmo","cumb","mar"
"3","21-Feb","08:55","Myodes glareolus","Bank vole","Mild, clear","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"4","06/04/2017","14:29","Myodes glareolus","Bank vole","sunny","12","57.176889, -2.101215","human site","suburban","residential ","Jen","Cath Dennis",NA,"att","aber","apr"
"5","24/03/2017","7.15 am","Myodes glareolus","Bank vole","Partly cloudy","6","TQ 32480 06832","Woodland","Mixed","Moderate shrub layer, Dense field layer","Abbey taylor","Dr Dawn Scott","Female","bri","brig","mar"
"6","28/03/2017","7.35 am","Myodes glareolus","Bank vole","Partly cloudy","17","TQ 32446 06787","Woodland","Mixed","Moderate shrub layer, Dense field layer","Abbey taylor","Dr Dawn Scott","Female","bri","brig","mar"
"7","19/05/2017","09:15","Myodes glareolus","Bank vole","Overcast/raining","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell",NA,"mdb","nott","may"
"8","09-Jan","09:23","Myodes glareolus","Bank vole","Cold, clear","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"9","17/05/2017","09:20","Myodes glareolus","Bank vole","Overcast/warm","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell","male","mdb","nott","may"
"10","06/04/2017","14:21","Myodes glareolus","Bank vole","sunny","8","57.176805, -2.101011","human site","suburban","residential ","Jen","Cath Dennis",NA,"att","aber","apr"
"11","03/01/2017","07:42","Myodes glareolus","Bank vole","Cloudy","7","SU 98419 50110","Human site","Suburban","Residential, Near road, Recreational area","Dixie","Zoe",NA,"tsu","surr","mar"
"12","09-Jan","08:47","Myodes glareolus","Bank vole","Cold, clear","26","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"13","09-Jan","09:12","Myodes glareolus","Bank vole","Cold, clear","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - fur clipping","nbm","east","jan"
"14","03/01/2017","07:15","Myodes glareolus","Bank vole","Cloudy","4","SU 98935 50268","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"15","03/01/2017","07:48","Myodes glareolus","Bank vole","Cloudy","12","SU 98470 50108","Human site","Suburban","Residential, Near road, Recreational area","Dixie","Zoe",NA,"tsu","surr","mar"
"16","16/05/2017","15:15","Myodes glareolus","Bank vole","Overcast/warm","T4","SK 69427 52489","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell","female","mdb","nott","may"
"17","09-Mar","07:30","Myodes glareolus","Bank vole","Sunny","9","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"18","17/05/2017","08:15","Myodes glareolus","Bank vole","Raining","10","SK 69853 52082","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Male","brb","nott","may"
"19","15/03/2017","06:44","Myodes glareolus","Bank vole","sunny","9","57.176401, -2.100953","human site","suburban","residential ","Rebecca","Cath Dennis",NA,"att","aber","mar"
"20","09-Jan","09:30","Myodes glareolus","Bank vole","Cold, clear","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"21","31-Jan","08:40","Myodes glareolus","Bank vole","Overcast, dry","28","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - fur clipping","nbm","east","jan"
"22","22-Feb","08:30","Myodes glareolus","Bank vole","Cold, rainy","2","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"23","01-Feb","08:44","Myodes glareolus","Bank vole","Cold, clear","28","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"24","09-Jan","08:30","Myodes glareolus","Bank vole","Cold, clear","21","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"25","03/01/2017","07:05","Myodes glareolus","Bank vole","Cloudy","4","SU 98095 50261","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"26","20-Feb","08:36","Myodes glareolus","Bank vole","Mild, clear","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"27","22/05/2017","08:30","Myodes glareolus","Bank vole","Dry, overcast","13","SK 69848 52063","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Male","brb","nott","may"
"28","16/05/2017","10:00","Myodes glareolus","Bank vole","Dry, overcast","8","SK 69842 52073","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Male","brb","nott","may"
"29","21-Feb","07:53","Sorex araneus","Common shrew","Mild, clear","9","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"30","10-Jan","08:15","Sorex araneus","Common shrew","Cloudy, light rain","23","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"31","09-Jan","08:37","Sorex araneus","Common shrew","Cold, clear","23","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"32","20-Feb","07:53","Sorex araneus","Common shrew","Mild, clear","9","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"33","31-Jan","08:47","Sorex araneus","Common shrew","Overcast, dry","30","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"34","09-Jan","09:15","Sorex araneus","Common shrew","Cold, clear","35","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"35","20-Feb","08:24","Sorex araneus","Common shrew","Mild, clear","25","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"36","09-Jan","07:48","Sorex araneus","Common shrew","Cold, clear","11","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"37","21-Feb","08:26","Sorex araneus","Common shrew","Mild, clear","23","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"38","21-Feb","08:17","Sorex araneus","Common shrew","Mild, clear","20","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"39","31-Jan","07:44","Sorex araneus","Common shrew","Overcast, dry","8","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"40","19/05/2017","20:30","Apodemus sylvaticus","Wood mouse","Overcast/raining","T5","SK 69420 52490","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell",NA,"mdb","nott","may"
"41","21/05/2007","09:29","Apodemus sylvaticus","Wood mouse","Clear, sunny","T6","SK 69399 52478","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell",NA,"mdb","nott","may"
"42","21/05/2017","09:32","Apodemus sylvaticus","Wood mouse","Clear, sunny","T9","SK 69399 52478","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell",NA,"mdb","nott","may"
"43","10-Jan","08:37","Microtus agrestis","Field vole","Cloudy, light rain","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - fur clipping","nbm","east","jan"
"44","10-Jan","09:30","Microtus agrestis","Field vole","Cloudy, light rain","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"45","17/02/2017","08:02","Microtus agrestis","Field vole","Partly cloudy","5","SU 98399 50112","Human site","Suburban","Residential, Near road, Recreational area","Dixie","Zoe",NA,"tsu","surr","feb"
"46","16/05/2017","15:15","Microtus agrestis","Field vole","Overcast/warm","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell","male","mdb","nott","may"
"47","10-Jan","09:25","Microtus agrestis","Field vole","Cloudy, light rain","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"48","21/05/2017","09:26","Microtus agrestis","Field vole","Clear, sunny","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell",NA,"mdb","nott","may"
"49","10-Jan","08:47","Microtus agrestis","Field vole","Cloudy, light rain","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"50","16/05/2017","09:30","Microtus agrestis","Field vole","Overcast/warm","T3","SK 69424 52494","Woodland","Mixed","Moderate shrub layer, Moderate field later, Near road (50M)","Group members","Richard Yarnell","male","mdb","nott","may"
"51","09-Jan","08:50","Microtus agrestis","Field vole","Cold, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"52","22-Feb","08:58","Sorex minutus","Pygmy shrew","Cold, rainy","14","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"53","01-Feb","08:33","Sorex minutus","Pygmy shrew","Cold, clear","23","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"54","01-Feb","07:36","Sorex minutus","Pygmy shrew","Cold, clear","2","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"55","31-Jan","08:58","Sorex minutus","Pygmy shrew","Overcast, dry","32","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"56","09-Jan","08:33","Sorex minutus","Pygmy shrew","Cold, clear","22","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"57","09-Jan","07:53","Sorex minutus","Pygmy shrew","Cold, clear","12","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"58","09-Jan","08:12","Sorex minutus","Pygmy shrew","Cold, clear","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"59","01-Feb","08:41","Apodemus sylvaticus","Wood mouse","Cold, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"60","01-Feb","08:55","Apodemus sylvaticus","Wood mouse","Cold, clear","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"61","01-Feb","08:58","Apodemus sylvaticus","Wood mouse","Cold, clear","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"62","01-Feb","09:10","Apodemus sylvaticus","Wood mouse","Cold, clear","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"63","21-Feb","09:27","Apodemus sylvaticus","Wood mouse","Mild, clear","39","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"64","20-Feb","07:30","Apodemus sylvaticus","Wood mouse","Mild, clear","2","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"65","22-Feb","08:46","Apodemus sylvaticus","Wood mouse","Cold, rainy","8","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"66","22-Feb","08:48","Apodemus sylvaticus","Wood mouse","Cold, rainy","9","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"67","01-Feb","09:15","Apodemus sylvaticus","Wood mouse","Cold, clear","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"68","22-Feb","08:52","Apodemus sylvaticus","Wood mouse","Cold, rainy","11","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"69","20-Feb","08:16","Apodemus sylvaticus","Wood mouse","Mild, clear","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"70","20-Feb","08:20","Apodemus sylvaticus","Wood mouse","Mild, clear","24","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"71","22-Feb","09:05","Apodemus sylvaticus","Wood mouse","Cold, rainy","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"72","20-Feb","08:31","Apodemus sylvaticus","Wood mouse","Mild, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"73","20-Feb","08:34","Apodemus sylvaticus","Wood mouse","Mild, clear","28","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"74","09-Jan","08:41","Apodemus sylvaticus","Wood mouse","Cold, clear","24","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"75","20-Feb","08:40","Apodemus sylvaticus","Wood mouse","Mild, clear","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"76","20-Feb","08:44","Apodemus sylvaticus","Wood mouse","Mild, clear","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"77","09-Jan","08:56","Apodemus sylvaticus","Wood mouse","Cold, clear","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"78","03/03/2017","10:20","Apodemus sylvaticus","Wood mouse","Cloudy","2","NY410554","Woodland","Mixed","Moderate shrub layer","Jason","Davina Hill","Back of stems","tmo","cumb","mar"
"79","20-Feb","08:59","Apodemus sylvaticus","Wood mouse","Mild, clear","39","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"80","20-Feb","08:07","Apodemus sylvaticus","Wood mouse","Mild, clear","12","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"81","21-Feb","07:30","Apodemus sylvaticus","Wood mouse","Mild, clear","2","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"82","09-Jan","07:40","Apodemus sylvaticus","Wood mouse","Cold, clear","9","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"83","31-Jan","09:16","Apodemus sylvaticus","Wood mouse","Overcast, dry","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"84","21-Feb","08:04","Apodemus sylvaticus","Wood mouse","Mild, clear","10","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"85","21-Feb","08:12","Apodemus sylvaticus","Wood mouse","Mild, clear","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; natural marking","nbm","east","feb"
"86","09-Jan","09:00","Apodemus sylvaticus","Wood mouse","Cold, clear","30","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"87","21-Feb","08:20","Apodemus sylvaticus","Wood mouse","Mild, clear","22","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"88","01-Feb","07:30","Apodemus sylvaticus","Wood mouse","Cold, clear","1","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"89","09-Jan","09:18","Apodemus sylvaticus","Wood mouse","Cold, clear","36","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"90","01-Feb","07:53","Apodemus sylvaticus","Wood mouse","Cold, clear","10","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"91","21-Feb","08:41","Apodemus sylvaticus","Wood mouse","Mild, clear","27","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"92","01-Feb","08:12","Apodemus sylvaticus","Wood mouse","Cold, clear","17","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recap; fur clipping","nbm","east","feb"
"93","10-Jan","08:30","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","24","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"94","01-Feb","08:20","Apodemus sylvaticus","Wood mouse","Cold, clear","19","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"95","01-Feb","08:26","Apodemus sylvaticus","Wood mouse","Cold, clear","20","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"96","21-Feb","09:15","Apodemus sylvaticus","Wood mouse","Mild, clear","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"97","01-Feb","08:37","Apodemus sylvaticus","Wood mouse","Cold, clear","25","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"98","17/02/2017","07:35","Apodemus sylvaticus","Wood mouse","Partly cloudy","14","SU 98120 50348","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"99","17/02/2017","07:10","Apodemus sylvaticus","Wood mouse","Partly cloudy","4","SU 98095 50261","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"100","21-Feb","09:30","Apodemus sylvaticus","Wood mouse","Mild, clear","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"101","17/02/2017","07:27","Apodemus sylvaticus","Wood mouse","Partly cloudy","12","SU 98108 50338","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"102","22-Feb","08:35","Apodemus sylvaticus","Wood mouse","Cold, rainy","4","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"103","17/02/2017","07:44","Apodemus sylvaticus","Wood mouse","Partly cloudy","16","SU 98137 50357","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"104","22-Feb","08:43","Apodemus sylvaticus","Wood mouse","Cold, rainy","7","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"105","17/02/2017","08:00","Apodemus sylvaticus","Wood mouse","Partly cloudy","11","SU 98906 50332","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","feb"
"106","10-Jan","08:57","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","32","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"107","22-Feb","08:50","Apodemus sylvaticus","Wood mouse","Cold, rainy","10","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
