"","Date","Time","latin","Species","Weather","Trap.number","Location..OS.coordinates.","Habitat.Lv.1","Habitat.Lv.2","Habitat.Lv.3","Observer","Supervisor","Any.other.comments","team","loc","month"
"108","10-Jan","09:16","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","35","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"109","22-Feb","08:54","Apodemus sylvaticus","Wood mouse","Cold, rainy","13","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"110","31-Jan","08:04","Apodemus sylvaticus","Wood mouse","Overcast, dry","16","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"111","31-Jan","08:30","Apodemus sylvaticus","Wood mouse","Overcast, dry","20","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - natural marking","nbm","east","jan"
"112","22-Feb","09:10","Apodemus sylvaticus","Wood mouse","Cold, rainy","18","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"113","03/01/2017","07:34","Apodemus sylvaticus","Wood mouse","Cloudy","12","SU 98901 50342","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"114","31-Jan","08:44","Apodemus sylvaticus","Wood mouse","Overcast, dry","29","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"115","09-Jan","08:44","Apodemus sylvaticus","Wood mouse","Cold, clear","25","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"116","01/03/2017","10:20","Apodemus sylvaticus","Wood mouse","Cloudy going dark","2","NY410554","Woodland","Mixed","Moderate shrub layer","Jason","Davina Hill","Back of stems","tmo","cumb","mar"
"117","01/03/2017","18:10","Apodemus sylvaticus","Wood mouse","Cloudy going dark","3","NY410554","Woodland","Mixed","Moderate shrub layer","Ruth","Davina Hill","Back of stems","tmo","cumb","mar"
"118","03/01/2017","07:08","Apodemus sylvaticus","Wood mouse","Cloudy","5","SU 98096 50268","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"119","03/03/2017","10:25","Apodemus sylvaticus","Wood mouse","Cloudy","3","NY410554","Woodland","Mixed","Moderate shrub layer","Ruth","Davina Hill","Back of stems","tmo","cumb","mar"
"120","20-Feb","09:04","Apodemus sylvaticus","Wood mouse","Mild, clear","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"121","31-Jan","09:03","Apodemus sylvaticus","Wood mouse","Overcast, dry","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"122","31-Jan","09:06","Apodemus sylvaticus","Wood mouse","Overcast, dry","34","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"123","03/01/2017","07:30","Apodemus sylvaticus","Wood mouse","Cloudy","13","SU 98112 50343","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"124","09-Jan","07:57","Apodemus sylvaticus","Wood mouse","Cold, clear","13","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - fur clipping","nbm","east","jan"
"125","09-Jan","08:15","Apodemus sylvaticus","Wood mouse","Cold, clear","17","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"126","31-Jan","08:35","Apodemus sylvaticus","Wood mouse","Overcast, dry","26","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - natural marking","nbm","east","jan"
"127","09-Jan","09:08","Apodemus sylvaticus","Wood mouse","Cold, clear","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"128","15/03/2017","06:30","Apodemus sylvaticus","Wood mouse","sunny","5","57.176800, -2.101014","human site","suburban","residential ","Rebecca","Cath Dennis",NA,"att","aber","mar"
"129","03/01/2017","07:00","Apodemus sylvaticus","Wood mouse","Cloudy","1","SU 98088 50226","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"130","21-Feb","08:37","Apodemus sylvaticus","Wood mouse","Mild, clear","25","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"131","17/02/2017","07:45","Apodemus sylvaticus","Wood mouse","Partly cloudy","9","SU 98916 50310","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","feb"
"132","21-Feb","08:44","Apodemus sylvaticus","Wood mouse","Mild, clear","28","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"133","17/05/2017","08:10","Apodemus sylvaticus","Wood mouse","Raining","9","SK 69847 52078","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Male","brb","nott","may"
"134","10-Jan","08:33","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","25","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"135","21-Feb","09:10","Apodemus sylvaticus","Wood mouse","Mild, clear","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"136","03/01/2017","07:26","Apodemus sylvaticus","Wood mouse","Cloudy","8","SU 98919 50303","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"137","10-Jan","08:50","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","30","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"138","10-Jan","09:19","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","36","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"139","03/01/2017","07:20","Apodemus sylvaticus","Wood mouse","Cloudy","9","SU 98102 50303","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"140","17/02/2017","07:20","Apodemus sylvaticus","Wood mouse","Partly cloudy","9","SU 98102 50303","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","feb"
"141","16/05/2017","10:15","Apodemus sylvaticus","Wood mouse","Dry, overcast","7","SK 69844 52056","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Male","brb","nott","may"
"142","17/02/2017","07:39","Apodemus sylvaticus","Wood mouse","Partly cloudy","4","SU 98935 50268","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","feb"
"143","10-Jan","07:43","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","7","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"144","09-Jan","09:25","Apodemus sylvaticus","Wood mouse","Cold, clear","39","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"145","10-Jan","07:57","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","18","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"146","10-Jan","08:12","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","22","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - natural marking","nbm","east","jan"
"147","10-Jan","09:00","Apodemus sylvaticus","Wood mouse","Cloudy, light rain","33","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"148","19/05/2017","09:00","Apodemus sylvaticus","Wood mouse","Raining","10","SK 69853 52082","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Female","brb","nott","may"
"149","19/05/2017","08:45","Apodemus sylvaticus","Wood mouse","Raining","13","SK 69848 52063","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Male","brb","nott","may"
"150","03/01/2017","07:30","Apodemus sylvaticus","Wood mouse","Cloudy","10","SU 98910 50323","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"151","31-Jan","09:20","Apodemus sylvaticus","Wood mouse","Overcast, dry","40","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"152","03/01/2017","07:10","Apodemus sylvaticus","Wood mouse","Cloudy","1","SU 98950 50237","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"153","22/05/2017","08:40","Apodemus sylvaticus","Wood mouse","Dry, overcast","9","SK 69847 52078","Woodland","Mixed","Moderate shrub layer, moderate field layer, plantation","HL","Richard Yarnell","Female","brb","nott","may"
"154","03/01/2017","07:40","Apodemus sylvaticus","Wood mouse","Cloudy","15","SU 98889 50368","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"155","31-Jan","08:51","Apodemus sylvaticus","Wood mouse","Overcast, dry","31","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"156","03/01/2017","07:22","Apodemus sylvaticus","Wood mouse","Cloudy","7","SU 98922 50296","Human site","Suburban","Near road, near railway, Recreational","Yuma","Emily",NA,"tsu","surr","mar"
"157","03/01/2017","07:24","Apodemus sylvaticus","Wood mouse","Cloudy","11","SU 98106 50326","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"158","03/01/2017","07:33","Apodemus sylvaticus","Wood mouse","Cloudy","16","SU 98137 50357","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"159","03/01/2017","07:12","Apodemus sylvaticus","Wood mouse","Cloudy","6","SU 98098 50278","Human site","Suburban","Near road, recreational ground","Dixie","Zoe",NA,"tsu","surr","mar"
"160","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","7","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"161","02-Mar","07:30","Apodemus sylvaticus","Wood mouse","Overcast","2","SU 7377 7132","Human Site","Suburban","Gardens","Team","Phil Baker",NA,"pft","read","mar"
"162","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","2","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"163","25/03/2017","8am","Apodemus sylvaticus","Wood mouse","Sunny","1","SU 74107 72071","Human site","Urban","Gardens","Ollie","Ollie",NA,"rum","read","mar"
"164","19/02/2017","08:37","Apodemus sylvaticus","Wood mouse","Sunny","46","SU421301","Human Site","Urban","Residential, Near road (<50m)",NA,NA,NA,"smw","sout","feb"
"165","19/02/2017","08:29","Apodemus sylvaticus","Wood mouse","Sunny","39","SU418148","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","feb"
"166","03/05/2017","08:20","Apodemus sylvaticus","Wood mouse","Sunny","36","T2","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","mar"
"167","06/04/2017","14:33","Apodemus sylvaticus","Wood mouse",NA,"17","57.176890, -2.101312","human site","suburban","residential ","Jen","Cath Dennis",NA,"att","aber","apr"
"168","05/02/2017","08:47","Apodemus sylvaticus","Wood mouse","Overcast","42","SU421301","Human Site","Urban","Residential, Near road (<50m)",NA,NA,NA,"smw","sout","feb"
"169","05/02/2017","08:34","Apodemus sylvaticus","Wood mouse","Overcast","36","SU418148","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","feb"
"170","19/02/2017","08:27","Apodemus sylvaticus","Wood mouse","Sunny","38","SU418148","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","feb"
"171","05/02/2017","08:38","Apodemus sylvaticus","Wood mouse","Overcast","37","SU418148","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","feb"
"172","19/02/2017","08:39","Apodemus sylvaticus","Wood mouse","Sunny","47","SU421301","Human Site","Urban","Residential, Near road (<50m)",NA,NA,NA,"smw","sout","feb"
"173","01/04/2017","7.55 am","Apodemus sylvaticus","Wood mouse","Partly cloudy","32","TQ 32413 06717","Openland","Unimproved","High/medium disturbance from people","nathan burns","Dr Dawn Scott","Male","bri","brig","mar"
"174","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","4","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"175","07/05/2017","08:48","Apodemus sylvaticus","Wood mouse","Sunny","27","T3","Human Site","Urban","Residential, Near road (<50m)",NA,NA,NA,"smw","sout","may"
"176","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","6","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"177","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","8","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"178","31/03/2017","7.50 am","Apodemus sylvaticus","Wood mouse","Partly cloudy","24","TQ 32426 06730","Openland","Unimproved","High/medium disturbance from people","Dominic walding","Dr Dawn Scott","Male","bri","brig","mar"
"179","04/06/2017","08:28","Apodemus sylvaticus","Wood mouse","Sunny","28","T3","Human Site","Urban","Residential, Near road (<50m)",NA,NA,NA,"smw","sout","jun"
"180","07/05/2017","08:46","Apodemus sylvaticus","Wood mouse","Sunny","18","T2","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","may"
"181","03/05/2017","08:26","Apodemus sylvaticus","Wood mouse","Sunny","38","T3","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","mar"
"182","02-Mar","07:30","Apodemus sylvaticus","Wood mouse","Overcast","3","SU 7377 7132","Human Site","Suburban","Gardens","Team","Phil Baker",NA,"pft","read","mar"
"183","02-Mar","07:30","Apodemus sylvaticus","Wood mouse","Overcast","4","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"184","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","5","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"185","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","1","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"186","09-Mar","07:30","Apodemus sylvaticus","Wood mouse","Sunny","3","SU 7358 7135","Woodland","Mixed","Moderate shrub layer, Near road (50m)","Team","Phil Baker",NA,"pft","read","mar"
"187","30/03/2017","7.45 am","Apodemus sylvaticus","Wood mouse","Partly cloudy","21","TQ 32437 06752","Openland","Unimproved","High/medium disturbance from people","nathan burns","Dr Dawn Scott","Female","bri","brig","mar"
"188","04/06/2017","08:11","Apodemus sylvaticus","Wood mouse","Sunny","19","T2","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","jun"
"189","23/03/2017","7.10 am","Apodemus sylvaticus","Wood mouse","Partly cloudy","1","TQ 32490 06842","Woodland","Mixed","Moderate shrub layer, Dense field layer","Dominic walding","Dr Dawn Scott","Male","bri","brig","mar"
"190","02-Mar","07:30","Apodemus sylvaticus","Wood mouse","Overcast","1","SU 7377 7132","Human Site","Suburban","Gardens","Team","Phil Baker",NA,"pft","read","mar"
"191","03/05/2017","08:28","Apodemus sylvaticus","Wood mouse","Sunny","45","T3","Human Site","Urban","Residential, Near road (<50m)",NA,NA,NA,"smw","sout","mar"
"192","07/05/2017","08:34","Apodemus sylvaticus","Wood mouse","Sunny","16","T2","Open Land","Unimproved","Hedgerow without trees, Medium disturbance from people, Near road (<50m)",NA,NA,NA,"smw","sout","may"
"193","29/03/2017","7.40 am","Apodemus sylvaticus","Wood mouse","Partly cloudy","20","TQ 32441 06764","Openland","Unimproved","High/medium disturbance from people","Dominic walding","Dr Dawn Scott","Female","bri","brig","mar"
"194","17-Feb","08:45:00","Apodemus sylvaticus","Wood mouse","Sunny","3","NJ 9377608729","Human site","Urban","Gardens","Carla and Rebecca","Xavier",NA,"fff","aber","feb"
"195","17-Feb","08:40:00","Apodemus sylvaticus","Wood mouse","Sunny","1","NJ 9367808654","Human site","Urban","Gardens","Carla and Rebecca","Xavier","See picture 3","fff","aber","feb"
"196","17-Feb","08:50:00","Apodemus sylvaticus","Wood mouse","Sunny","6","NJ 9367708809","Human site","Urban","Gardens","Carla and Rebecca","Xavier","Two mice found in one trap","fff","aber","feb"
"197","17-Feb","08:50:00","Apodemus sylvaticus","Wood mouse","Sunny","6","NJ 9367708809","Human site","Urban","Gardens","Carla and Rebecca","Xavier","Two mice found in one trap","fff","aber","feb"
"198","10-Jan","08:41","Apodemus flavicollis","Yellow-necked mouse","Cloudy, light rain","28","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,"Recapture - natural marking","nbm","east","jan"
"199","31-Jan","08:09","Apodemus flavicollis","Yellow-necked mouse","Overcast, dry","17","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"200","20-Feb","08:12","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","15","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"201","20-Feb","08:56","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"202","10-Jan","07:40","Apodemus flavicollis","Yellow-necked mouse","Cloudy, light rain","6","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"203","21-Feb","07:36","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","6","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"204","09-Jan","07:30","Apodemus flavicollis","Yellow-necked mouse","Cold, clear","8","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"205","20-Feb","07:35","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","6","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"206","21-Feb","08:58","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","32","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"207","01-Feb","08:17","Apodemus flavicollis","Yellow-necked mouse","Cold, clear","18","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"208","01-Feb","08:04","Apodemus flavicollis","Yellow-necked mouse","Cold, clear","15","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"209","10-Jan","07:53","Apodemus flavicollis","Yellow-necked mouse","Cloudy, light rain","17","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"210","21-Feb","09:19","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","36","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"211","10-Jan","07:34","Apodemus flavicollis","Yellow-necked mouse","Cloudy, light rain","4","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"212","21-Feb","09:23","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","38","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"213","22-Feb","08:40","Apodemus flavicollis","Yellow-necked mouse","Cold, rainy","6","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","All",NA,NA,"nbm","east","feb"
"214","21-Feb","08:33","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","24","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"215","31-Jan","08:00","Apodemus flavicollis","Yellow-necked mouse","Overcast, dry","14","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","jan"
"216","20-Feb","08:50","Apodemus flavicollis","Yellow-necked mouse","Mild, clear","36","TG 19138 06916 - TG 19047 06945","Woodland","Broadleaved","Moderate shrub layer, sparse field layer","Shawnee & Max",NA,NA,"nbm","east","feb"
"217","26/03/2017","7.25 am","Apodemus flavicollis","Yellow-necked mouse","Partly cloudy","11","TQ 32456 06804","Woodland","Mixed","Moderate shrub layer, Dense field layer","Abbey taylor","Dr Dawn Scott","Male","bri","brig","mar"
"218","17/02/2017","08:18","Apodemus flavicollis","Yellow-necked mouse","Partly cloudy","10","SU 98450 50108","Human site","Suburban","Residential, Near road, Recreational area","Dixie","Zoe",NA,"tsu","surr","feb"
"219","27/03/2017","7.30 am","Apodemus flavicollis","Yellow-necked mouse","Partly cloudy","13","TQ 32453 06796","Woodland","Mixed","Moderate shrub layer, Dense field layer","Dominic walding","Dr Dawn Scott","Female","bri","brig","mar"
"220","25/03/2017","7.20 am","Apodemus flavicollis","Yellow-necked mouse","Partly cloudy","10","TQ 32467 06819","Woodland","Mixed","Moderate shrub layer, Dense field layer","Dominic walding","Dr Dawn Scott","Male","bri","brig","mar"
