Date,Time,Weather,Species,Count,Alive/Dead,Location (OS coordinates),Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Method,Any other comments
12-May,,,Soprano pipistrelle,12,Alive,TG 19093 06932,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),Count = total number of passes
,,,Common pipistrelle,25,Alive,TG 19093 06932,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),4,Alive,TG 19093 06932,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
13-May,,,Soprano pipistrelle,12,Alive,TG 19093 06932,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,15,Alive,TG 19093 06932,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),14,Alive,TG 19093 06932,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common noctule,1,Alive,TG 19093 06932,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
12-May,,,Soprano pipistrelle,30,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,17,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),9,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Nathusius' pipistrelle,1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
13-May,,,Soprano pipistrelle,71,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,21,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),15,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Nathusius' pipistrelle,2,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
14-May,,,Soprano pipistrelle,39,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,6,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),9,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
15-May,,,Soprano pipistrelle,57,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,56,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),13,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
16-May,,,Soprano pipistrelle,74,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,47,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),23,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
17-May,,,Soprano pipistrelle,25,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,5,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),3,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Nathusius' pipistrelle,1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Myotis daubentoni,1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
18-May,,,Soprano pipistrelle,9,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,2,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
19-May,,,Soprano pipistrelle,1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
20-May,,,Soprano pipistrelle,14,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,4,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),3,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
21-May,,,Soprano pipistrelle,30,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,10,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),14,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Nathusius' pipistrelle,1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
22-May,,,Soprano pipistrelle,24,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,10,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),7,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Brown long-eared bat,1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
23-May,,,Soprano pipistrelle,35,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Common pipistrelle,8,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),7,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
24-May,,,Soprano pipistrelle,1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
,,,Pipistrelle (exact species unknown),1,Alive,TG 19176 06907,Woodland,Broadleaved,"Sparse field layer, moderate shrub layer",All,Bat detector (sound recording),
